Item,Qty,Datetime,Traffic
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:20:05,990
Croissant - Almond - FM,1,2023-10-21 10:19:48,990
Berry Croissant - FM,1,2023-10-21 10:19:29,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:19:06,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:15:28,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:14:30,990
Croissant - Pumpkin Croissant - FM,1,2023-10-21 10:14:30,990
Berry Croissant - FM,1,2023-10-21 10:13:23,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:12:53,990
Croissant - Almond - FM,1,2023-10-21 10:11:30,990
Croissant - Almond - FM,1,2023-10-21 10:09:08,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:08:50,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:08:42,990
Croissant - Butter - FM,1,2023-10-21 10:08:26,990
Croissant - Butter - FM,1,2023-10-21 10:07:44,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:06:55,990
Berry Croissant - FM,1,2023-10-21 10:06:55,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:05:58,990
Croissant - Pumpkin Croissant - FM,1,2023-10-21 10:05:28,990
Berry Croissant - FM,1,2023-10-21 10:04:13,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:03:05,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:03:05,990
Croissant - Pain Au Chocolat - FM,2,2023-10-21 10:00:29,990
Croissant - Pumpkin Croissant - FM,1,2023-10-21 10:00:18,990
Berry Croissant - FM,1,2023-10-21 10:00:09,990
Croissant - Pumpkin Croissant - FM,1,2023-10-21 09:56:08,728
Berry Croissant - FM,1,2023-10-21 09:53:28,728
Berry Croissant - FM,3,2023-10-21 09:46:23,728
Croissant - Pain Au Chocolat - FM,1,2023-10-21 09:37:57,728
Berry Croissant - FM,1,2023-10-21 09:37:57,728
